File,Board,Year,Title,Number
,Plan Commission,,1993-01 Thru 1993-04 Plan Commission Packets,CB237
,Plan Commission,,1993-05 Thru 1993-12 Plan Commission Packets,CB237
,Plan Commission,,1994-09 Thru 1994-12 Plat Committee,CB237
,,,1996 Misc,CB238
,,,Blgtn Master Plan Info,CB238
,Bicycle and Pedestrian Safety Commission,,1997 BPSC,CB238
,Bicycle and Pedestrian Safety Commission,,2001 BPSC,CB238
,Bicycle and Pedestrian Safety Commission,,2005 BPSC,CB238
,Bicycle and Pedestrian Safety Commission,,2007 BPSC,CB238
,Bicycle and Pedestrian Safety Commission,,Bloomington Bike-Ped,CB238
,Bicycle and Pedestrian Safety Commission,,1999 BPSC,CB238
,Bicycle and Pedestrian Safety Commission,,2000 Bike & Ped Commission,CB238
,Bicycle and Pedestrian Safety Commission,,1998 BPSC,CB238
,Board of Zoning Appeals,,1982 Board Of Zoning Appeals Packets Including Minutes,CB239
,Board of Zoning Appeals,,1983 Board Of Zoning Appeals Packets Including Minutes,CB239
,Board of Zoning Appeals,,1984-01 Thru 1984-06 Board Of Zoning Appeals Packets Minutes & Agendas,CB239
,Board of Zoning Appeals,,1984-07 Thru 1984-12 BZA Packets,CB239
,Board of Zoning Appeals,,1985 BZA Meeting Packets & Minutes,CB239
,Board of Zoning Appeals,,1986 BZA Meeting Packets & Minutes,CB240
,Board of Zoning Appeals,,1987 BZA Meeting Packets & Minutes,CB240
,Board of Zoning Appeals,,1988-01 Thru 1988-06 BZA Meeting Packets & Minutes,CB240
,Board of Zoning Appeals,,1988-07 Thru 1988-12 BZA Meeting Packets & Minutes,CB240
,Board of Zoning Appeals,,1989 BZA Meeting Packets & Minutes,CB241
,Board of Zoning Appeals,,1991 Board Of Zoning Appeals Packets & Minutes,CB241
,Board of Zoning Appeals,,1990 BZA Meeting Packets & Minutes,CB241
,Board of Zoning Appeals,,1992-01 Thru 1992-06 Board Of Zoning Appeals Meeting Packets & Agendas,CB241
,,,1992,CB242
,Board of Zoning Appeals,,1993-01 Thru 1993-06 Board Of Zoning Appeals Meeting Packets & Agendas,CB242
,Board of Zoning Appeals,,1993-07 Thru 1993-12 Board Of Zoning Appeals Meeting Packets & Agendas,CB242
,Board of Zoning Appeals,,1994-01 Thru 1994-06 Board Of Zoning Appeals Meeting Packets & Agendas,CB242
,Board of Zoning Appeals,,1994-07 Thru 1994-12 Board Of Zoning Appeals Meeting Packets & Agendas,CB243
,Board of Zoning Appeals,,1995-07 Thru 1995-12 BZA Meeting Packets & Minutes,CB243
